latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.9999
fcc,600,0.9984
fcc,700,0.9923
fcc,800,0.9736
fcc,900,0.9355
fcc,1000,0.8479
fcc,1100,0.6777
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,0.9999
hcp,600,0.9996
hcp,700,0.9982
hcp,800,0.9951
hcp,900,0.9902
hcp,1000,0.9806
hcp,1100,0.9654
hcp,1200,0.9516
hcp,1300,0.9189
hcp,1400,0.8843
hcp,1500,0.8581
hcp,1600,0.8096
hcp,1700,0.7633
hcp,1800,0.7143
hcp,1900,0.6522
hcp,2000,0.5954
hcp,2100,0.5324
hcp,2200,0.4792
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.9997
bcc,800,0.9989
bcc,900,0.9969
bcc,1000,0.9913
bcc,1100,0.9828
bcc,1200,0.9662
bcc,1300,0.9427
bcc,1400,0.9079
bcc,1500,0.8563
bcc,1600,0.8056
bcc,1700,0.736
bcc,1800,0.6535
bcc,1900,0.5546
bcc,2000,0.4232
hd,20,0.9782
hd,40,0.9851
hd,60,0.9848
hd,80,0.9848
hd,100,0.9862
hd,120,0.9847
hd,140,0.985
hd,160,0.9802
hd,180,0.9806
hd,200,0.9695
hd,220,0.9618
hd,240,0.9448
hd,260,0.9318
hd,280,0.9013
hd,300,0.8729
hd,320,0.842
hd,340,0.8035
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,0.9999
cd,500,0.999
cd,600,0.9964
cd,700,0.9926
cd,800,0.9836
cd,900,0.9692
cd,1000,0.9598
cd,1100,0.9341
cd,1200,0.905
cd,1300,0.8879
cd,1400,0.8447
cd,1500,0.7998
cd,1600,0.7598
cd,1700,0.7016
cd,1800,0.6619
cd,1900,0.5906
cd,2000,0.5175
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.9998
sc,1100,0.9996
sc,1200,0.9999
