latt,temp,ML_baseline
fcc,100,1.0
fcc,200,0.999879995199808
fcc,300,1.0
fcc,400,0.999879995199808
fcc,500,0.9991599663986559
fcc,600,0.9971198847953918
fcc,700,0.9891995679827194
fcc,800,0.9618384735389416
fcc,900,0.9107164286571463
fcc,1000,0.8190327613104524
fcc,1100,0.671906876275051
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,1.0
hcp,800,0.9997599903996159
hcp,900,0.999519980799232
hcp,1000,0.9992799711988479
hcp,1100,0.9978399135965439
hcp,1200,0.9954398175927037
hcp,1300,0.9929197167886715
hcp,1400,0.9882395295811832
hcp,1500,0.9890795631825273
hcp,1600,0.9780391215648626
hcp,1700,0.9750390015600624
hcp,1800,0.9638785551422057
hcp,1900,0.9594383775351014
hcp,2000,0.9423976959078363
hcp,2100,0.9297971918876755
hcp,2200,0.9152766110644426
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.999879995199808
bcc,900,0.999519980799232
bcc,1000,0.9972398895955839
bcc,1100,0.9919596783871355
bcc,1200,0.9870394815792631
bcc,1300,0.9716788671546862
bcc,1400,0.9473178927157087
bcc,1500,0.9023160926437057
bcc,1600,0.8473538941557662
bcc,1700,0.7727109084363375
bcc,1800,0.6997479899195967
bcc,1900,0.563902556102244
bcc,2000,0.43309732389295574
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,0.999879995199808
hd,160,0.9997599903996159
hd,180,0.99939997599904
hd,200,0.9992799711988479
hd,220,0.9992799711988479
hd,240,0.9975999039961598
hd,260,0.9973598943957759
hd,280,0.9907596303852154
hd,300,0.9888395535821433
hd,320,0.9869194767790712
hd,340,0.9783991359654386
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,0.9991599663986559
cd,900,0.9986799471978879
cd,1000,0.9983199327973119
cd,1100,0.9918396735869435
cd,1200,0.9887195487819512
cd,1300,0.9786391455658227
cd,1400,0.968798751950078
cd,1500,0.9428777151086043
cd,1600,0.9299171966878675
cd,1700,0.8975159006360255
cd,1800,0.8688347533901356
cd,1900,0.813152526101044
cd,2000,0.7676707068282731
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.99939997599904
sc,1100,0.9992799711988479
sc,1200,0.9950798031921276
