latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.999879995199808
fcc,600,0.999039961598464
fcc,700,0.9966398655946238
fcc,800,0.9859594383775351
fcc,900,0.9608784351374055
fcc,1000,0.9048361934477379
fcc,1100,0.8066722668906756
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,0.999879995199808
hcp,700,0.9997599903996159
hcp,800,0.9986799471978879
hcp,900,0.9977199087963519
hcp,1000,0.9973598943957759
hcp,1100,0.9933997359894395
hcp,1200,0.9895595823832953
hcp,1300,0.9827193087723509
hcp,1400,0.9722788911556463
hcp,1500,0.9715588623544942
hcp,1600,0.9537981519260771
hcp,1700,0.9541581663266531
hcp,1800,0.9360374414976599
hcp,1900,0.9272770910836433
hcp,2000,0.9045961838473539
hcp,2100,0.8923556942277691
hcp,2200,0.8720748829953198
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9997599903996159
bcc,900,0.9987999519980799
bcc,1000,0.9981999279971199
bcc,1100,0.9947197887915517
bcc,1200,0.9878795151806072
bcc,1300,0.9762390495619825
bcc,1400,0.9575183007320293
bcc,1500,0.9267970718828753
bcc,1600,0.8810752430097204
bcc,1700,0.8190327613104524
bcc,1800,0.7597503900156006
bcc,1900,0.639745589823593
bcc,2000,0.5102604104164167
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,0.99939997599904
hd,140,0.998919956798272
hd,160,0.9979599183967359
hd,180,0.9969998799951998
hd,200,0.9953198127925117
hd,220,0.9953198127925117
hd,240,0.9908796351854074
hd,260,0.9903996159846394
hd,280,0.9801992079683187
hd,300,0.9787591503660147
hd,320,0.9777991119644786
hd,340,0.9734789391575663
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,0.999879995199808
cd,600,1.0
cd,700,1.0
cd,800,0.999639985599424
cd,900,0.999879995199808
cd,1000,0.9997599903996159
cd,1100,0.9960398415936638
cd,1200,0.9963998559942397
cd,1300,0.9925597023880955
cd,1400,0.9864394575783031
cd,1500,0.9731189247569902
cd,1600,0.9649585983439337
cd,1700,0.9452778111124445
cd,1800,0.9306372254890196
cd,1900,0.8917556702268091
cd,2000,0.8629545181807272
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.9992799711988479
sc,1000,0.9942397695907836
sc,1100,0.9899195967838713
sc,1200,0.9655586223448938
