latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9995
fcc,700,0.9957
fcc,800,0.9838
fcc,900,0.956
fcc,1000,0.8861
fcc,1100,0.7408
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,0.9999
hcp,500,1.0
hcp,600,0.9999
hcp,700,0.9988
hcp,800,0.9963
hcp,900,0.9914
hcp,1000,0.9852
hcp,1100,0.9727
hcp,1200,0.9535
hcp,1300,0.9283
hcp,1400,0.8958
hcp,1500,0.8683
hcp,1600,0.8185
hcp,1700,0.7761
hcp,1800,0.7157
hcp,1900,0.6619
hcp,2000,0.5972
hcp,2100,0.5362
hcp,2200,0.4664
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9994
bcc,900,0.9966
bcc,1000,0.9922
bcc,1100,0.985
bcc,1200,0.9733
bcc,1300,0.9459
bcc,1400,0.9199
bcc,1500,0.8701
bcc,1600,0.8267
bcc,1700,0.7552
bcc,1800,0.6763
bcc,1900,0.5728
bcc,2000,0.4336
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,0.9997
hd,160,0.999
hd,180,0.9967
hd,200,0.9915
hd,220,0.9856
hd,240,0.9723
hd,260,0.9579
hd,280,0.9265
hd,300,0.8914
hd,320,0.8551
hd,340,0.8101
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,0.9997
cd,1000,0.9985
cd,1100,0.995
cd,1200,0.9901
cd,1300,0.9831
cd,1400,0.967
cd,1500,0.9427
cd,1600,0.9157
cd,1700,0.8713
cd,1800,0.8285
cd,1900,0.7491
cd,2000,0.6806
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,1.0
sc,1200,1.0
