latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,0.999879995199808
fcc,500,0.999039961598464
fcc,600,0.9941197647905916
fcc,700,0.9801992079683187
fcc,800,0.9410776431057243
fcc,900,0.8695547821912877
fcc,1000,0.7483499339973599
fcc,1100,0.5855034201368055
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,0.999879995199808
hcp,600,1.0
hcp,700,0.999519980799232
hcp,800,0.9992799711988479
hcp,900,0.999639985599424
hcp,1000,0.9991599663986559
hcp,1100,0.9979599183967359
hcp,1200,0.9953198127925117
hcp,1300,0.9941197647905916
hcp,1400,0.9911196447857914
hcp,1500,0.9908796351854074
hcp,1600,0.9854794191767671
hcp,1700,0.9851194047761911
hcp,1800,0.9829593183727349
hcp,1900,0.9786391455658227
hcp,2000,0.9734789391575663
hcp,2100,0.9719188767550702
hcp,2200,0.9713188527541101
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9997599903996159
bcc,900,0.998919956798272
bcc,1000,0.9969998799951998
bcc,1100,0.9896795871834874
bcc,1200,0.9795991839673587
bcc,1300,0.9641185647425897
bcc,1400,0.937957518300732
bcc,1500,0.8972758910356414
bcc,1600,0.8405136205448218
bcc,1700,0.7753510140405616
bcc,1800,0.7046681867274691
bcc,1900,0.5748229929197168
bcc,2000,0.45265810632425296
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,1.0
hd,160,1.0
hd,180,1.0
hd,200,0.999879995199808
hd,220,0.999639985599424
hd,240,0.99939997599904
hd,260,0.999879995199808
hd,280,0.9986799471978879
hd,300,0.9991599663986559
hd,320,0.9980799231969278
hd,340,0.9945997839913596
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,0.999639985599424
cd,800,0.9979599183967359
cd,900,0.9944797791911677
cd,1000,0.9914796591863675
cd,1100,0.9750390015600624
cd,1200,0.9627985119404776
cd,1300,0.9427577103084124
cd,1400,0.9129965198607944
cd,1500,0.8481939277571103
cd,1600,0.8207128285131405
cd,1700,0.7622704908196328
cd,1800,0.7121084843393736
cd,1900,0.6342253690147606
cd,2000,0.5828633145325813
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999879995199808
sc,1100,0.9997599903996159
sc,1200,0.999519980799232
