latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,0.999879995199808
fcc,500,0.999519980799232
fcc,600,0.9967598703948158
fcc,700,0.9882395295811832
fcc,800,0.9661586463458538
fcc,900,0.9260770430817232
fcc,1000,0.8465138605544221
fcc,1100,0.7291491659666387
hcp,100,1.0
hcp,200,1.0
hcp,300,0.999879995199808
hcp,400,0.999879995199808
hcp,500,1.0
hcp,600,0.9997599903996159
hcp,700,0.9992799711988479
hcp,800,0.9987999519980799
hcp,900,0.9978399135965439
hcp,1000,0.9962798511940477
hcp,1100,0.9930397215888636
hcp,1200,0.9896795871834874
hcp,1300,0.984519380775231
hcp,1400,0.9776791071642865
hcp,1500,0.9756390255610224
hcp,1600,0.9595583823352934
hcp,1700,0.9587183487339493
hcp,1800,0.9487579503180127
hcp,1900,0.9359174366974679
hcp,2000,0.9186367454698188
hcp,2100,0.906516260650426
hcp,2200,0.8929557182287291
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9997599903996159
bcc,900,0.9991599663986559
bcc,1000,0.9980799231969278
bcc,1100,0.9912396495859834
bcc,1200,0.984159366374655
bcc,1300,0.968558742349694
bcc,1400,0.9481579263170526
bcc,1500,0.9139565582623305
bcc,1600,0.8623544941797672
bcc,1700,0.8035521420856834
bcc,1800,0.7467898715948638
bcc,1900,0.6291851674066963
bcc,2000,0.5151806072242889
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,1.0
hd,160,0.999519980799232
hd,180,0.999519980799232
hd,200,0.9991599663986559
hd,220,0.998919956798272
hd,240,0.9978399135965439
hd,260,0.9986799471978879
hd,280,0.9972398895955839
hd,300,0.9953198127925117
hd,320,0.9965198607944318
hd,340,0.9939997599903996
cd,100,1.0
cd,200,1.0
cd,300,0.999879995199808
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,0.999639985599424
cd,800,0.9985599423976959
cd,900,0.9980799231969278
cd,1000,0.9965198607944318
cd,1100,0.9872794911796472
cd,1200,0.9827193087723509
cd,1300,0.9731189247569902
cd,1400,0.9564382575303012
cd,1500,0.9213968558742349
cd,1600,0.9014760590423617
cd,1700,0.8575543021720868
cd,1800,0.826713068522741
cd,1900,0.7629905196207848
cd,2000,0.7160686427457098
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.999879995199808
sc,1000,0.999639985599424
sc,1100,0.9991599663986559
sc,1200,0.9897995919836794
