latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9995
fcc,700,0.9981
fcc,800,0.992
fcc,900,0.983
fcc,1000,0.9554
fcc,1100,0.882
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,0.9999
hcp,500,0.9999
hcp,600,0.9996
hcp,700,0.9977
hcp,800,0.9948
hcp,900,0.9898
hcp,1000,0.9819
hcp,1100,0.9691
hcp,1200,0.9468
hcp,1300,0.9262
hcp,1400,0.8916
hcp,1500,0.8684
hcp,1600,0.8262
hcp,1700,0.7881
hcp,1800,0.7338
hcp,1900,0.7046
hcp,2000,0.6363
hcp,2100,0.6011
hcp,2200,0.5372
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.9998
bcc,800,0.9991
bcc,900,0.9966
bcc,1000,0.9896
bcc,1100,0.9784
bcc,1200,0.9608
bcc,1300,0.9292
bcc,1400,0.8951
bcc,1500,0.8433
bcc,1600,0.788
bcc,1700,0.7149
bcc,1800,0.6407
bcc,1900,0.5432
bcc,2000,0.4076
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,1.0
hd,160,1.0
hd,180,0.9997
hd,200,0.9984
hd,220,0.9968
hd,240,0.9912
hd,260,0.9835
hd,280,0.9658
hd,300,0.9457
hd,320,0.9131
hd,340,0.8762
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,0.9995
cd,800,0.9993
cd,900,0.997
cd,1000,0.9913
cd,1100,0.98
cd,1200,0.9537
cd,1300,0.9423
cd,1400,0.896
cd,1500,0.8368
cd,1600,0.7738
cd,1700,0.686
cd,1800,0.6262
cd,1900,0.5199
cd,2000,0.4317
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,1.0
sc,1200,1.0
