latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9991599663986559
fcc,700,0.9986799471978879
fcc,800,0.9889595583823353
fcc,900,0.9767190687627505
fcc,1000,0.9405976239049562
fcc,1100,0.8813152526101043
hcp,100,1.0
hcp,200,0.999879995199808
hcp,300,0.999639985599424
hcp,400,0.9997599903996159
hcp,500,0.99939997599904
hcp,600,0.9986799471978879
hcp,700,0.9979599183967359
hcp,800,0.9956798271930877
hcp,900,0.9933997359894395
hcp,1000,0.9872794911796472
hcp,1100,0.9780391215648626
hcp,1200,0.9723988959558383
hcp,1300,0.9561982479299171
hcp,1400,0.9408376335053402
hcp,1500,0.9303972158886356
hcp,1600,0.9041161646465858
hcp,1700,0.8871954878195127
hcp,1800,0.8629545181807272
hcp,1900,0.8411136445457819
hcp,2000,0.813992559702388
hcp,2100,0.78183127325093
hcp,2200,0.7611904476179047
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9997599903996159
bcc,900,0.999039961598464
bcc,1000,0.9966398655946238
bcc,1100,0.9889595583823353
bcc,1200,0.9764790591623665
bcc,1300,0.9579983199327973
bcc,1400,0.9323172926917077
bcc,1500,0.8887555502220089
bcc,1600,0.8349933997359894
bcc,1700,0.7673106924276971
bcc,1800,0.7004680187207488
bcc,1900,0.5732629305172207
bcc,2000,0.45265810632425296
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,0.999639985599424
hd,140,0.998919956798272
hd,160,0.9980799231969278
hd,180,0.9983199327973119
hd,200,0.9949597983919357
hd,220,0.9935197407896316
hd,240,0.9901596063842554
hd,260,0.9915996639865594
hd,280,0.9823592943717748
hd,300,0.9805592223688947
hd,320,0.9800792031681267
hd,340,0.9776791071642865
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,0.999879995199808
cd,900,1.0
cd,1000,0.999879995199808
cd,1100,0.999039961598464
cd,1200,0.999519980799232
cd,1300,0.9977199087963519
cd,1400,0.9968798751950078
cd,1500,0.9906396255850234
cd,1600,0.9860794431777271
cd,1700,0.9782791311652466
cd,1800,0.9699987999519981
cd,1900,0.9386775471018841
cd,2000,0.9182767310692428
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999639985599424
sc,1100,0.9986799471978879
sc,1200,0.9897995919836794
