latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.999639985599424
fcc,700,0.9974798991959678
fcc,800,0.9895595823832953
fcc,900,0.9717988719548782
fcc,1000,0.9140765630625225
fcc,1100,0.8005520220808833
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.9997599903996159
hcp,800,0.9979599183967359
hcp,900,0.9979599183967359
hcp,1000,0.9948397935917437
hcp,1100,0.9911196447857914
hcp,1200,0.9855994239769591
hcp,1300,0.9793591743669747
hcp,1400,0.9743189727589103
hcp,1500,0.9714388575543021
hcp,1600,0.9555982239289572
hcp,1700,0.9536781471258851
hcp,1800,0.9474378975159007
hcp,1900,0.9447977919116765
hcp,2000,0.9273970958838353
hcp,2100,0.9243969758790351
hcp,2200,0.9191167646705868
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,1.0
bcc,1000,0.9997599903996159
bcc,1100,0.99939997599904
bcc,1200,0.9978399135965439
bcc,1300,0.9926797071882876
bcc,1400,0.9881195247809912
bcc,1500,0.9723988959558383
bcc,1600,0.9523580943237729
bcc,1700,0.9183967358694348
bcc,1800,0.8799951998079923
bcc,1900,0.7895115804632186
bcc,2000,0.6829473178927157
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,0.999879995199808
hd,120,0.999879995199808
hd,140,0.9992799711988479
hd,160,0.9984399375975039
hd,180,0.9967598703948158
hd,200,0.9962798511940477
hd,220,0.9948397935917437
hd,240,0.9909996399855995
hd,260,0.9903996159846394
hd,280,0.9811592463698547
hd,300,0.9758790351614065
hd,320,0.9746789871594864
hd,340,0.9679587183487339
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.9997599903996159
cd,1200,0.9997599903996159
cd,1300,0.999879995199808
cd,1400,0.9992799711988479
cd,1500,0.9973598943957759
cd,1600,0.9954398175927037
cd,1700,0.9913596543861755
cd,1800,0.9865594623784951
cd,1900,0.9716788671546862
cd,2000,0.9555982239289572
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,1.0
sc,1200,0.999039961598464
