latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9991599663986559
fcc,700,0.9967598703948158
fcc,800,0.9888395535821433
fcc,900,0.9689187567502701
fcc,1000,0.9254770190807632
fcc,1100,0.8462738509540382
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,0.999879995199808
hcp,600,1.0
hcp,700,0.9991599663986559
hcp,800,0.9981999279971199
hcp,900,0.9969998799951998
hcp,1000,0.9936397455898236
hcp,1100,0.9860794431777271
hcp,1200,0.9815192607704308
hcp,1300,0.969758790351614
hcp,1400,0.9552382095283811
hcp,1500,0.9476779071162846
hcp,1600,0.9123964958598344
hcp,1700,0.9051962078483139
hcp,1800,0.8789151566062643
hcp,1900,0.8633145325813033
hcp,2000,0.8250330013200528
hcp,2100,0.7941917676707069
hcp,2200,0.7677907116284651
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.999879995199808
bcc,900,0.9992799711988479
bcc,1000,0.9979599183967359
bcc,1100,0.9936397455898236
bcc,1200,0.9861994479779191
bcc,1300,0.9735989439577583
bcc,1400,0.9567982719308772
bcc,1500,0.9207968318732749
bcc,1600,0.8831153246129845
bcc,1700,0.8243129725189008
bcc,1800,0.7730709228369135
bcc,1900,0.6594263770550822
bcc,2000,0.5420616824672987
hd,20,0.0
hd,40,0.0
hd,60,0.0
hd,80,0.0
hd,100,0.0
hd,120,0.0
hd,140,0.0
hd,160,0.0
hd,180,0.0
hd,200,0.0
hd,220,0.0
hd,240,0.0
hd,260,0.0
hd,280,0.0
hd,300,0.0
hd,320,0.0
hd,340,0.0
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,1.0
cd,1200,1.0
cd,1300,1.0
cd,1400,1.0
cd,1500,1.0
cd,1600,1.0
cd,1700,1.0
cd,1800,1.0
cd,1900,0.9992799711988479
cd,2000,0.9986799471978879
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.999639985599424
sc,1000,0.999039961598464
sc,1100,0.9967598703948158
sc,1200,0.9859594383775351
