latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.99939997599904
fcc,700,0.9985599423976959
fcc,800,0.9929197167886715
fcc,900,0.9811592463698547
fcc,1000,0.9423976959078363
fcc,1100,0.8552742109684387
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.999519980799232
hcp,800,0.9974798991959678
hcp,900,0.9962798511940477
hcp,1000,0.9937597503900156
hcp,1100,0.9881195247809912
hcp,1200,0.9812792511700468
hcp,1300,0.9727589103564143
hcp,1400,0.9659186367454698
hcp,1500,0.9563182527301092
hcp,1600,0.9386775471018841
hcp,1700,0.9319572782911316
hcp,1800,0.9171966878675147
hcp,1900,0.9083163326533061
hcp,2000,0.8783151326053042
hcp,2100,0.8646345853834153
hcp,2200,0.8420736829473179
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999879995199808
bcc,1000,0.999639985599424
bcc,1100,0.99939997599904
bcc,1200,0.9980799231969278
bcc,1300,0.9945997839913596
bcc,1400,0.9887195487819512
bcc,1500,0.9745589823592944
bcc,1600,0.9541581663266531
bcc,1700,0.922716908676347
bcc,1800,0.8873154926197048
bcc,1900,0.8000720028801152
bcc,2000,0.688227529101164
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,0.999879995199808
hd,100,0.999879995199808
hd,120,0.999879995199808
hd,140,0.99939997599904
hd,160,0.9987999519980799
hd,180,0.9980799231969278
hd,200,0.9974798991959678
hd,220,0.9967598703948158
hd,240,0.9930397215888636
hd,260,0.9925597023880955
hd,280,0.9861994479779191
hd,300,0.9824792991719669
hd,320,0.9813992559702388
hd,340,0.9756390255610224
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.999639985599424
cd,1200,0.999639985599424
cd,1300,0.99939997599904
cd,1400,0.9985599423976959
cd,1500,0.9954398175927037
cd,1600,0.9924396975879035
cd,1700,0.9849993999759991
cd,1800,0.9788791551662066
cd,1900,0.9553582143285732
cd,2000,0.9354374174966998
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999879995199808
sc,1100,0.9997599903996159
sc,1200,0.9985599423976959
