latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.999639985599424
fcc,700,0.9971198847953918
fcc,800,0.9885995439817593
fcc,900,0.9679587183487339
fcc,1000,0.9103564142565702
fcc,1100,0.8021120844833793
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,0.999879995199808
hcp,500,0.999879995199808
hcp,600,1.0
hcp,700,0.999039961598464
hcp,800,0.9978399135965439
hcp,900,0.9971198847953918
hcp,1000,0.9957998319932797
hcp,1100,0.9908796351854074
hcp,1200,0.9864394575783031
hcp,1300,0.9793591743669747
hcp,1400,0.9727589103564143
hcp,1500,0.9734789391575663
hcp,1600,0.9558382335293412
hcp,1700,0.9549981999279972
hcp,1800,0.9443177727109084
hcp,1900,0.937357494299772
hcp,2000,0.9228369134765391
hcp,2100,0.9186367454698188
hcp,2200,0.9105964238569543
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,1.0
bcc,1000,0.999639985599424
bcc,1100,0.998919956798272
bcc,1200,0.9967598703948158
bcc,1300,0.9919596783871355
bcc,1400,0.984759390375615
bcc,1500,0.968798751950078
bcc,1600,0.9447977919116765
bcc,1700,0.9032761310452418
bcc,1800,0.8635545421816873
bcc,1900,0.7610704428177127
bcc,2000,0.640225609024361
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,0.9997599903996159
hd,140,0.99939997599904
hd,160,0.9987999519980799
hd,180,0.998919956798272
hd,200,0.9975999039961598
hd,220,0.9963998559942397
hd,240,0.9941197647905916
hd,260,0.9944797791911677
hd,280,0.9877595103804152
hd,300,0.984759390375615
hd,320,0.9864394575783031
hd,340,0.9829593183727349
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.99939997599904
cd,1200,0.9992799711988479
cd,1300,0.9980799231969278
cd,1400,0.9965198607944318
cd,1500,0.9917196687867514
cd,1600,0.9865594623784951
cd,1700,0.9753990159606384
cd,1800,0.9668786751470059
cd,1900,0.936997479899196
cd,2000,0.9090363614544582
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999879995199808
sc,1100,0.999639985599424
sc,1200,0.9983199327973119
