latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.99939997599904
fcc,700,0.9985599423976959
fcc,800,0.9911196447857914
fcc,900,0.9713188527541101
fcc,1000,0.9266770670826833
fcc,1100,0.8354734189367574
hcp,100,1.0
hcp,200,1.0
hcp,300,0.999879995199808
hcp,400,0.999879995199808
hcp,500,0.9997599903996159
hcp,600,0.9997599903996159
hcp,700,0.9986799471978879
hcp,800,0.9978399135965439
hcp,900,0.9960398415936638
hcp,1000,0.9937597503900156
hcp,1100,0.9871594863794552
hcp,1200,0.9849993999759991
hcp,1300,0.9751590063602544
hcp,1400,0.9615984639385575
hcp,1500,0.9603984159366374
hcp,1600,0.936757470298812
hcp,1700,0.9305172206888276
hcp,1800,0.9146765870634825
hcp,1900,0.8984759390375615
hcp,2000,0.874114964598584
hcp,2100,0.8547941917676707
hcp,2200,0.8343933757350294
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999879995199808
bcc,1000,0.999519980799232
bcc,1100,0.9983199327973119
bcc,1200,0.9954398175927037
bcc,1300,0.9895595823832953
bcc,1400,0.9817592703708148
bcc,1500,0.9657986319452778
bcc,1600,0.9380775231009241
bcc,1700,0.905076203048122
bcc,1800,0.8658346333853354
bcc,1900,0.7673106924276971
bcc,2000,0.6651866074642986
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,0.9997599903996159
hd,120,0.99939997599904
hd,140,0.9981999279971199
hd,160,0.9975999039961598
hd,180,0.9973598943957759
hd,200,0.9941197647905916
hd,220,0.9923196927877115
hd,240,0.9890795631825273
hd,260,0.9907596303852154
hd,280,0.9829593183727349
hd,300,0.9789991599663986
hd,320,0.9780391215648626
hd,340,0.9761190447617905
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,0.999879995199808
cd,1100,0.9992799711988479
cd,1200,0.999519980799232
cd,1300,0.998919956798272
cd,1400,0.9972398895955839
cd,1500,0.9933997359894395
cd,1600,0.9903996159846394
cd,1700,0.9827193087723509
cd,1800,0.9752790111604465
cd,1900,0.9482779311172447
cd,2000,0.9291971678867155
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999639985599424
sc,1100,0.9991599663986559
sc,1200,0.9917196687867514
