latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9992799711988479
fcc,700,0.9962798511940477
fcc,800,0.984399375975039
fcc,900,0.9566782671306853
fcc,1000,0.8845553822152886
fcc,1100,0.7490699627985119
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.9992799711988479
hcp,800,0.9984399375975039
hcp,900,0.9972398895955839
hcp,1000,0.9938797551902077
hcp,1100,0.9897995919836794
hcp,1200,0.985359414376575
hcp,1300,0.9799591983679348
hcp,1400,0.9715588623544942
hcp,1500,0.9731189247569902
hcp,1600,0.953438137525501
hcp,1700,0.953198127925117
hcp,1800,0.9426377055082203
hcp,1900,0.9396375855034201
hcp,2000,0.922236889475579
hcp,2100,0.9192367694707788
hcp,2200,0.9164766590663627
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999879995199808
bcc,1000,0.9997599903996159
bcc,1100,0.998919956798272
bcc,1200,0.9955598223928958
bcc,1300,0.9891995679827194
bcc,1400,0.9810392415696628
bcc,1500,0.9627985119404776
bcc,1600,0.9384375375015
bcc,1700,0.8919956798271931
bcc,1800,0.8545541821672867
bcc,1900,0.7525501020040801
bcc,2000,0.6435857434297372
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,0.999879995199808
hd,140,0.99939997599904
hd,160,0.998919956798272
hd,180,0.9987999519980799
hd,200,0.9978399135965439
hd,220,0.9965198607944318
hd,240,0.9942397695907836
hd,260,0.9961598463938558
hd,280,0.9893195727829113
hd,300,0.9878795151806072
hd,320,0.9884795391815673
hd,340,0.9860794431777271
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.99939997599904
cd,1200,0.9991599663986559
cd,1300,0.9975999039961598
cd,1400,0.9960398415936638
cd,1500,0.9897995919836794
cd,1600,0.9849993999759991
cd,1700,0.9729989199567983
cd,1800,0.9630385215408617
cd,1900,0.9312372494899795
cd,2000,0.9019560782431297
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999879995199808
sc,1100,0.999879995199808
sc,1200,0.9981999279971199
