latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9992799711988479
fcc,700,0.9987999519980799
fcc,800,0.9902796111844474
fcc,900,0.9716788671546862
fcc,1000,0.9246369854794192
fcc,1100,0.8336733469338774
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,0.999879995199808
hcp,700,0.9991599663986559
hcp,800,0.9984399375975039
hcp,900,0.9969998799951998
hcp,1000,0.9938797551902077
hcp,1100,0.9869194767790712
hcp,1200,0.9819992799711988
hcp,1300,0.9733589343573743
hcp,1400,0.9603984159366374
hcp,1500,0.9575183007320293
hcp,1600,0.9300372014880596
hcp,1700,0.922236889475579
hcp,1800,0.9085563422536902
hcp,1900,0.8891155646225849
hcp,2000,0.8607944317772711
hcp,2100,0.8397935917436697
hcp,2200,0.8223928957158286
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999639985599424
bcc,1000,0.999519980799232
bcc,1100,0.9978399135965439
bcc,1200,0.9950798031921276
bcc,1300,0.9881195247809912
bcc,1400,0.9803192127685108
bcc,1500,0.9627985119404776
bcc,1600,0.9399975999039961
bcc,1700,0.8987159486379456
bcc,1800,0.8653546141845674
bcc,1900,0.7734309372374895
bcc,2000,0.6798271930877235
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,0.9997599903996159
hd,120,0.99939997599904
hd,140,0.9981999279971199
hd,160,0.9975999039961598
hd,180,0.9973598943957759
hd,200,0.9941197647905916
hd,220,0.9921996879875195
hd,240,0.9890795631825273
hd,260,0.9906396255850234
hd,280,0.9827193087723509
hd,300,0.9785191407656306
hd,320,0.9775591023640946
hd,340,0.9756390255610224
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,0.999879995199808
cd,1100,0.9992799711988479
cd,1200,0.999519980799232
cd,1300,0.999039961598464
cd,1400,0.9974798991959678
cd,1500,0.9936397455898236
cd,1600,0.9903996159846394
cd,1700,0.9831993279731189
cd,1800,0.9755190207608304
cd,1900,0.9487579503180127
cd,2000,0.9300372014880596
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.9997599903996159
sc,1100,0.9991599663986559
sc,1200,0.9915996639865594
