latt,temp,ML
fcc,100,1.0
fcc,200,0.9997599903996159
fcc,300,0.9905196207848314
fcc,400,0.9397575903036122
fcc,500,0.828153126125045
fcc,600,0.6785071402856114
fcc,700,0.515540621624865
fcc,800,0.3379335173406936
fcc,900,0.2170886835473419
fcc,1000,0.1311652466098644
fcc,1100,0.06828273130925237
hcp,100,0.0
hcp,200,0.00024000960038401536
hcp,300,0.010440417616704669
hcp,400,0.049561982479299174
hcp,500,0.12228489139565582
hcp,600,0.21936877475099004
hcp,700,0.3200528021120845
hcp,800,0.4231369254770191
hcp,900,0.5042601704068163
hcp,1000,0.5772230889235569
hcp,1100,0.639865594623785
hcp,1200,0.6746669866794672
hcp,1300,0.7229089163566542
hcp,1400,0.7433097323892955
hcp,1500,0.7602304092163686
hcp,1600,0.7641905676227049
hcp,1700,0.765750630025201
hcp,1800,0.7752310092403696
hcp,1900,0.7861514460578423
hcp,2000,0.7905916236649466
hcp,2100,0.7859114364574583
hcp,2200,0.7842313692547702
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,0.9980799231969278
bcc,700,0.9966398655946238
bcc,800,0.9911196447857914
bcc,900,0.9815192607704308
bcc,1000,0.9689187567502701
bcc,1100,0.9507980319212769
bcc,1200,0.9234369374774991
bcc,1300,0.8996759870394816
bcc,1400,0.8624744989799592
bcc,1500,0.8109924396975879
bcc,1600,0.7776311052442098
bcc,1700,0.7135485419416777
bcc,1800,0.6618264730589224
bcc,1900,0.5681027241089643
bcc,2000,0.49909996399855994
hd,20,0.999639985599424
hd,40,0.9884795391815673
hd,60,0.9479179167166687
hd,80,0.8882755310212409
hd,100,0.812672506900276
hd,120,0.7331093243729749
hd,140,0.6956678267130685
hd,160,0.6535461418456738
hd,180,0.6399855994239769
hd,200,0.6258250330013201
hd,220,0.6267850714028561
hd,240,0.6302652106084243
hd,260,0.6425057002280091
hd,280,0.6624264970598824
hd,300,0.6667466698667947
hd,320,0.6707068282731309
hd,340,0.6854674186967479
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,0.9997599903996159
cd,500,0.9957998319932797
cd,600,0.984879395175807
cd,700,0.9695187807512301
cd,800,0.9411976479059162
cd,900,0.9120364814592584
cd,1000,0.8930757230289211
cd,1100,0.8460338413536541
cd,1200,0.8067922716908676
cd,1300,0.7681507260290411
cd,1400,0.7319092763710549
cd,1500,0.6698667946717869
cd,1600,0.6475459018360734
cd,1700,0.6027841113644545
cd,1800,0.5588623544941798
cd,1900,0.5067802712108485
cd,2000,0.47905916236649465
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,0.999879995199808
sc,500,0.999879995199808
sc,600,0.9997599903996159
sc,700,0.9977199087963519
sc,800,0.9963998559942397
sc,900,0.9925597023880955
sc,1000,0.9864394575783031
sc,1100,0.9771990879635185
sc,1200,0.9667586703468138
