Accuracy on validation set: 75.91

              precision    recall  f1-score   support

         1.0       0.60      0.61      0.61      8333
         2.0       0.53      0.52      0.52      8333
         3.0       0.87      0.88      0.88      8333
         4.0       0.79      0.74      0.77      8333
         5.0       0.76      0.81      0.78      8333
         6.0       0.99      0.99      0.99      8333

    accuracy                           0.76     49998
   macro avg       0.76      0.76      0.76     49998
weighted avg       0.76      0.76      0.76     49998

Confusion Matrix:
[[5105 2825  399    0    0    4]
 [3364 4297  656    0    0   16]
 [  21  947 7358    0    0    7]
 [   0    0    0 6164 2122   47]
 [   0    0    0 1574 6748   11]
 [   0   10    0   40    1 8282]]
