latt,temp,ML
fcc,100,0.004440177607104284
fcc,200,0.1312852514100564
fcc,300,0.35185407416296655
fcc,400,0.5337813512540501
fcc,500,0.6335053402136085
fcc,600,0.65630625225009
fcc,700,0.6489859594383776
fcc,800,0.6021840873634945
fcc,900,0.5756630265210608
fcc,1000,0.5366614664586583
fcc,1100,0.5045001800072003
hcp,100,0.9945997839913596
hcp,200,0.8363134525381015
hcp,300,0.6303852154086164
hcp,400,0.468738749549982
hcp,500,0.38629545181807273
hcp,600,0.34477379095163807
hcp,700,0.3345733829353174
hcp,800,0.32689307572302895
hcp,900,0.31969278771150844
hcp,1000,0.3247329893195728
hcp,1100,0.3228129125165007
hcp,1200,0.32389295571822874
hcp,1300,0.3136925477019081
hcp,1400,0.31681267250690026
hcp,1500,0.3073322932917317
hcp,1600,0.28945157806312255
hcp,1700,0.2876515060602424
hcp,1800,0.27553102124084966
hcp,1900,0.26785071402856114
hcp,2000,0.25201008040321615
hcp,2100,0.23796951878075123
hcp,2200,0.2265690627625105
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,0.999879995199808
bcc,500,1.0
bcc,600,0.9979599183967359
bcc,700,0.9957998319932797
bcc,800,0.9902796111844474
bcc,900,0.9812792511700468
bcc,1000,0.967598703948158
bcc,1100,0.953558142325693
bcc,1200,0.9273970958838353
bcc,1300,0.9140765630625225
bcc,1400,0.8775951038041522
bcc,1500,0.8415936637465499
bcc,1600,0.8100324012960518
bcc,1700,0.766110644425777
bcc,1800,0.718708748349934
bcc,1900,0.6457458298331933
bcc,2000,0.5959438377535101
hd,20,0.999519980799232
hd,40,0.9907596303852154
hd,60,0.9557182287291491
hd,80,0.8994359774390975
hd,100,0.8274330973238929
hd,120,0.7376695067802712
hd,140,0.6857074282971319
hd,160,0.624504980199208
hd,180,0.5664226569062762
hd,200,0.5249009960398416
hd,220,0.4732989319572783
hd,240,0.4398175927037081
hd,260,0.4226569062762511
hd,280,0.3776551062042482
hd,300,0.34957398295931835
hd,320,0.3360134405376215
hd,340,0.3216128645145806
cd,100,1.0
cd,200,1.0
cd,300,0.999879995199808
cd,400,0.9973598943957759
cd,500,0.9893195727829113
cd,600,0.9711988479539182
cd,700,0.9474378975159007
cd,800,0.9169566782671307
cd,900,0.8852754110164407
cd,1000,0.8690747629905197
cd,1100,0.843273730949238
cd,1200,0.8189127565102604
cd,1300,0.8012720508820352
cd,1400,0.7907116284651386
cd,1500,0.7712708508340334
cd,1600,0.7676707068282731
cd,1700,0.7646705868234729
cd,1800,0.7646705868234729
cd,1900,0.7634705388215529
cd,2000,0.7704308172326894
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,0.9991599663986559
sc,500,0.9977199087963519
sc,600,0.9930397215888636
sc,700,0.9855994239769591
sc,800,0.968678747149886
sc,900,0.951518060722429
sc,1000,0.922116884675387
sc,1100,0.8981159246369855
sc,1200,0.8393135725429017
