Accuracy on validation set: 70.10

              precision    recall  f1-score   support

         1.0       0.45      0.47      0.46      8333
         2.0       0.43      0.38      0.40      8333
         3.0       0.83      0.90      0.87      8333
         4.0       0.81      0.62      0.70      8333
         5.0       0.69      0.87      0.77      8333
         6.0       0.99      0.96      0.98      8333

    accuracy                           0.70     49998
   macro avg       0.70      0.70      0.70     49998
weighted avg       0.70      0.70      0.70     49998

Confusion Matrix:
[[3922 3900  509    0    0    2]
 [4182 3181  960    0    0   10]
 [ 490  344 7494    0    0    5]
 [   0    0    0 5202 3111   20]
 [   1    0    0 1104 7223    5]
 [  32   27   21  146   78 8029]]
