latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9991599663986559
fcc,700,0.9979599183967359
fcc,800,0.9884795391815673
fcc,900,0.96831873274931
fcc,1000,0.9180367214688587
fcc,1100,0.8299531981279251
hcp,100,1.0
hcp,200,1.0
hcp,300,0.999879995199808
hcp,400,1.0
hcp,500,1.0
hcp,600,0.999879995199808
hcp,700,0.9986799471978879
hcp,800,0.9978399135965439
hcp,900,0.9961598463938558
hcp,1000,0.9938797551902077
hcp,1100,0.9881195247809912
hcp,1200,0.984639385575423
hcp,1300,0.9746789871594864
hcp,1400,0.9631585263410536
hcp,1500,0.9595583823352934
hcp,1600,0.9350774030961239
hcp,1700,0.9331573262930517
hcp,1800,0.9090363614544582
hcp,1900,0.9011160446417856
hcp,2000,0.874714988599544
hcp,2100,0.8556342253690148
hcp,2200,0.8345133805352214
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.9997599903996159
bcc,1000,0.9991599663986559
bcc,1100,0.9973598943957759
bcc,1200,0.9938797551902077
bcc,1300,0.9863194527781112
bcc,1400,0.9719188767550702
bcc,1500,0.9554782191287652
bcc,1600,0.9235569422776911
bcc,1700,0.8826353054122165
bcc,1800,0.8395535821432857
bcc,1900,0.7425897035881436
bcc,2000,0.6295451818072723
hd,20,1.0
hd,40,1.0
hd,60,0.999879995199808
hd,80,0.9997599903996159
hd,100,0.999879995199808
hd,120,0.9984399375975039
hd,140,0.9978399135965439
hd,160,0.9973598943957759
hd,180,0.9955598223928958
hd,200,0.9915996639865594
hd,220,0.9913596543861755
hd,240,0.9876395055802232
hd,260,0.9870394815792631
hd,280,0.9793591743669747
hd,300,0.9728789151566063
hd,320,0.9710788431537262
hd,340,0.968078723148926
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.999519980799232
cd,1200,0.99939997599904
cd,1300,0.9986799471978879
cd,1400,0.9968798751950078
cd,1500,0.9921996879875195
cd,1600,0.9873994959798392
cd,1700,0.9794791791671666
cd,1800,0.9723988959558383
cd,1900,0.9459978399135965
cd,2000,0.9269170766830673
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.999879995199808
sc,1000,0.999519980799232
sc,1100,0.9978399135965439
sc,1200,0.9882395295811832
