latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.9999
fcc,600,0.9988
fcc,700,0.9954
fcc,800,0.9899
fcc,900,0.9703
fcc,1000,0.9309
fcc,1100,0.8303
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.9999
hcp,800,0.999
hcp,900,0.9969
hcp,1000,0.9939
hcp,1100,0.9889
hcp,1200,0.9801
hcp,1300,0.9686
hcp,1400,0.9511
hcp,1500,0.9437
hcp,1600,0.9199
hcp,1700,0.9012
hcp,1800,0.8726
hcp,1900,0.8496
hcp,2000,0.8203
hcp,2100,0.7854
hcp,2200,0.743
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.9999
bcc,900,0.9993
bcc,1000,0.9985
bcc,1100,0.9944
bcc,1200,0.9908
bcc,1300,0.9779
bcc,1400,0.9639
bcc,1500,0.9411
bcc,1600,0.9128
bcc,1700,0.868
bcc,1800,0.8139
bcc,1900,0.7469
bcc,2000,0.6281
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,0.9999
hd,160,0.9996
hd,180,0.9996
hd,200,0.9992
hd,220,0.9995
hd,240,0.9977
hd,260,0.9987
hd,280,0.9985
hd,300,0.9982
hd,320,0.998
hd,340,0.9977
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.9991
cd,1200,0.9979
cd,1300,0.996
cd,1400,0.9899
cd,1500,0.9769
cd,1600,0.9612
cd,1700,0.9332
cd,1800,0.9068
cd,1900,0.8509
cd,2000,0.7843
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.9998
sc,1000,0.9998
sc,1100,0.999
sc,1200,0.9951
