latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9987999519980799
fcc,700,0.9947197887915517
fcc,800,0.9777991119644786
fcc,900,0.9420376815072603
fcc,1000,0.8630745229809192
fcc,1100,0.7207488299531981
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.999639985599424
hcp,800,0.9983199327973119
hcp,900,0.9980799231969278
hcp,1000,0.9936397455898236
hcp,1100,0.9908796351854074
hcp,1200,0.9857194287771511
hcp,1300,0.9800792031681267
hcp,1400,0.9728789151566063
hcp,1500,0.9728789151566063
hcp,1600,0.9565582623304932
hcp,1700,0.9518780751230049
hcp,1800,0.9443177727109084
hcp,1900,0.9409576383055323
hcp,2000,0.9287171486859475
hcp,2100,0.9239169566782671
hcp,2200,0.9259570382815313
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,1.0
bcc,900,0.999879995199808
bcc,1000,0.9992799711988479
bcc,1100,0.9980799231969278
bcc,1200,0.9938797551902077
bcc,1300,0.9870394815792631
bcc,1400,0.9768390735629425
bcc,1500,0.9541581663266531
bcc,1600,0.9237969518780751
bcc,1700,0.875555022200888
bcc,1800,0.8261130445217809
bcc,1900,0.7217088683547341
bcc,2000,0.6085443417736709
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,0.999879995199808
hd,140,0.99939997599904
hd,160,0.9985599423976959
hd,180,0.9987999519980799
hd,200,0.9981999279971199
hd,220,0.9967598703948158
hd,240,0.9948397935917437
hd,260,0.9950798031921276
hd,280,0.9894395775831033
hd,300,0.9860794431777271
hd,320,0.9885995439817593
hd,340,0.984039361574463
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,1.0
cd,1100,0.9991599663986559
cd,1200,0.9986799471978879
cd,1300,0.9954398175927037
cd,1400,0.9931597263890556
cd,1500,0.985239409576383
cd,1600,0.9786391455658227
cd,1700,0.9633985359414377
cd,1800,0.9504380175207008
cd,1900,0.9153966158646346
cd,2000,0.8823952958118325
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,0.999879995199808
sc,1100,0.9997599903996159
sc,1200,0.9981999279971199
