latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.99939997599904
fcc,700,0.9985599423976959
fcc,800,0.9896795871834874
fcc,900,0.969638785551422
fcc,1000,0.9174366974678987
fcc,1100,0.8216728669146766
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,0.9997599903996159
hcp,800,0.9991599663986559
hcp,900,0.9979599183967359
hcp,1000,0.9950798031921276
hcp,1100,0.9894395775831033
hcp,1200,0.983919356774271
hcp,1300,0.9722788911556463
hcp,1400,0.9638785551422057
hcp,1500,0.9581183247329893
hcp,1600,0.9332773310932437
hcp,1700,0.921636865474619
hcp,1800,0.9078363134525381
hcp,1900,0.8917556702268091
hcp,2000,0.8631945277811113
hcp,2100,0.8414736589463578
hcp,2200,0.8269530781231249
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,1.0
bcc,800,0.999879995199808
bcc,900,0.999519980799232
bcc,1000,0.999519980799232
bcc,1100,0.9975999039961598
bcc,1200,0.9933997359894395
bcc,1300,0.984759390375615
bcc,1400,0.9745589823592944
bcc,1500,0.9553582143285732
bcc,1600,0.9272770910836433
bcc,1700,0.8873154926197048
bcc,1800,0.8430337213488539
bcc,1900,0.7535101404056163
bcc,2000,0.6615864634585383
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,0.999879995199808
hd,120,0.999639985599424
hd,140,0.9986799471978879
hd,160,0.9978399135965439
hd,180,0.9972398895955839
hd,200,0.9943597743909757
hd,220,0.9919596783871355
hd,240,0.9893195727829113
hd,260,0.9893195727829113
hd,280,0.9800792031681267
hd,300,0.9764790591623665
hd,320,0.9769590783631346
hd,340,0.9733589343573743
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,1.0
cd,1000,0.9997599903996159
cd,1100,0.999639985599424
cd,1200,0.99939997599904
cd,1300,0.9983199327973119
cd,1400,0.9966398655946238
cd,1500,0.9920796831873275
cd,1600,0.9879995199807993
cd,1700,0.9781591263650546
cd,1800,0.9711988479539182
cd,1900,0.9429977199087963
cd,2000,0.9236769470778832
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.999879995199808
sc,1000,0.999639985599424
sc,1100,0.9992799711988479
sc,1200,0.9918396735869435
