latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,0.9997599903996159
fcc,500,0.9987999519980799
fcc,600,0.9945997839913596
fcc,700,0.984399375975039
fcc,800,0.9449177967118685
fcc,900,0.8867154686187447
fcc,1000,0.7757110284411376
fcc,1100,0.625465018600744
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,1.0
hcp,800,0.9997599903996159
hcp,900,0.999879995199808
hcp,1000,0.999879995199808
hcp,1100,0.9992799711988479
hcp,1200,0.998919956798272
hcp,1300,0.9979599183967359
hcp,1400,0.9972398895955839
hcp,1500,0.9973598943957759
hcp,1600,0.9930397215888636
hcp,1700,0.9942397695907836
hcp,1800,0.9926797071882876
hcp,1900,0.9912396495859834
hcp,2000,0.9863194527781112
hcp,2100,0.983919356774271
hcp,2200,0.9821192847713909
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.999879995199808
bcc,800,0.9992799711988479
bcc,900,0.9969998799951998
bcc,1000,0.9913596543861755
bcc,1100,0.9752790111604465
bcc,1200,0.9517580703228129
bcc,1300,0.9194767790711629
bcc,1400,0.8687147485899436
bcc,1500,0.7949117964718588
bcc,1600,0.7087483499339974
bcc,1700,0.610344413776551
bcc,1800,0.5256210248409936
bcc,1900,0.3813752550102004
bcc,2000,0.2714508580343214
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,1.0
hd,160,0.9997599903996159
hd,180,0.999519980799232
hd,200,0.999519980799232
hd,220,0.9991599663986559
hd,240,0.9987999519980799
hd,260,0.9977199087963519
hd,280,0.9933997359894395
hd,300,0.9918396735869435
hd,320,0.9911196447857914
hd,340,0.9870394815792631
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,0.999519980799232
cd,900,0.99939997599904
cd,1000,0.998919956798272
cd,1100,0.9949597983919357
cd,1200,0.9935197407896316
cd,1300,0.9863194527781112
cd,1400,0.9763590543621745
cd,1500,0.952598103924157
cd,1600,0.9415576623064923
cd,1700,0.9150366014640585
cd,1800,0.8861154446177847
cd,1900,0.8388335533421337
cd,2000,0.7998319932797312
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,1.0
sc,1200,0.9997599903996159
