latt,temp,ML
fcc,100,1.0
fcc,200,0.9997599903996159
fcc,300,0.999639985599424
fcc,400,0.9980799231969278
fcc,500,0.9961598463938558
fcc,600,0.9881195247809912
fcc,700,0.9744389775591024
fcc,800,0.9276371054842194
fcc,900,0.8616344653786151
fcc,1000,0.7526701068042722
fcc,1100,0.609744389775591
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,1.0
hcp,600,1.0
hcp,700,1.0
hcp,800,0.999879995199808
hcp,900,1.0
hcp,1000,0.9997599903996159
hcp,1100,0.9985599423976959
hcp,1200,0.9978399135965439
hcp,1300,0.9966398655946238
hcp,1400,0.9953198127925117
hcp,1500,0.9953198127925117
hcp,1600,0.9908796351854074
hcp,1700,0.9925597023880955
hcp,1800,0.9895595823832953
hcp,1900,0.9864394575783031
hcp,2000,0.9800792031681267
hcp,2100,0.9769590783631346
hcp,2200,0.9746789871594864
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.999639985599424
bcc,800,0.99939997599904
bcc,900,0.9973598943957759
bcc,1000,0.9930397215888636
bcc,1100,0.9771990879635185
bcc,1200,0.9605184207368295
bcc,1300,0.9294371774870995
bcc,1400,0.8881555262210489
bcc,1500,0.8193927757110284
bcc,1600,0.7422296891875675
bcc,1700,0.6494659786391456
bcc,1800,0.5723028921156846
bcc,1900,0.4264970598823953
bcc,2000,0.31501260050402013
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,0.999519980799232
hd,100,0.9992799711988479
hd,120,0.9983199327973119
hd,140,0.9962798511940477
hd,160,0.9941197647905916
hd,180,0.9941197647905916
hd,200,0.9889595583823353
hd,220,0.9893195727829113
hd,240,0.9818792751710068
hd,260,0.9822392895715829
hd,280,0.9699987999519981
hd,300,0.9667586703468138
hd,320,0.969278771150846
hd,340,0.9667586703468138
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,0.999879995199808
cd,1000,1.0
cd,1100,0.9986799471978879
cd,1200,0.9987999519980799
cd,1300,0.9972398895955839
cd,1400,0.9945997839913596
cd,1500,0.9875195007800313
cd,1600,0.984279371174847
cd,1700,0.9713188527541101
cd,1800,0.9594383775351014
cd,1900,0.9293171726869075
cd,2000,0.905676227049082
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.9997599903996159
sc,1000,0.99939997599904
sc,1100,0.9963998559942397
sc,1200,0.9867994719788792
