latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.9998
fcc,600,0.9961
fcc,700,0.9881
fcc,800,0.9706
fcc,900,0.9378
fcc,1000,0.8758
fcc,1100,0.7525
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,0.9999
hcp,500,0.9996
hcp,600,0.9986
hcp,700,0.9957
hcp,800,0.9929
hcp,900,0.9872
hcp,1000,0.9819
hcp,1100,0.9718
hcp,1200,0.9612
hcp,1300,0.9506
hcp,1400,0.9256
hcp,1500,0.9157
hcp,1600,0.8975
hcp,1700,0.8768
hcp,1800,0.8486
hcp,1900,0.8292
hcp,2000,0.7883
hcp,2100,0.7538
hcp,2200,0.7194
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,0.9997
bcc,700,0.9983
bcc,800,0.9953
bcc,900,0.988
bcc,1000,0.9741
bcc,1100,0.9528
bcc,1200,0.9161
bcc,1300,0.8665
bcc,1400,0.8322
bcc,1500,0.7593
bcc,1600,0.6859
bcc,1700,0.6109
bcc,1800,0.5317
bcc,1900,0.4292
bcc,2000,0.3143
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,1.0
hd,160,0.9998
hd,180,0.9992
hd,200,0.997
hd,220,0.9942
hd,240,0.9857
hd,260,0.9753
hd,280,0.9549
hd,300,0.9283
hd,320,0.9004
hd,340,0.8589
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,0.9995
cd,600,0.9988
cd,700,0.9937
cd,800,0.9863
cd,900,0.969
cd,1000,0.9434
cd,1100,0.8969
cd,1200,0.8472
cd,1300,0.8045
cd,1400,0.7309
cd,1500,0.6327
cd,1600,0.5752
cd,1700,0.482
cd,1800,0.4293
cd,1900,0.3374
cd,2000,0.2708
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,1.0
sc,1000,1.0
sc,1100,1.0
sc,1200,1.0
