latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.9997
fcc,600,0.9988
fcc,700,0.9942
fcc,800,0.9828
fcc,900,0.9557
fcc,1000,0.9023
fcc,1100,0.7976
hcp,100,1.0
hcp,200,1.0
hcp,300,1.0
hcp,400,1.0
hcp,500,0.9999
hcp,600,0.9998
hcp,700,0.9991
hcp,800,0.9974
hcp,900,0.9956
hcp,1000,0.9908
hcp,1100,0.9825
hcp,1200,0.9743
hcp,1300,0.9601
hcp,1400,0.9395
hcp,1500,0.9272
hcp,1600,0.8969
hcp,1700,0.8803
hcp,1800,0.8457
hcp,1900,0.8217
hcp,2000,0.7913
hcp,2100,0.7496
hcp,2200,0.7047
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.9995
bcc,800,0.9988
bcc,900,0.9969
bcc,1000,0.9944
bcc,1100,0.988
bcc,1200,0.9792
bcc,1300,0.9596
bcc,1400,0.9421
bcc,1500,0.9132
bcc,1600,0.8745
bcc,1700,0.8269
bcc,1800,0.7637
bcc,1900,0.7084
bcc,2000,0.6026
hd,20,1.0
hd,40,1.0
hd,60,1.0
hd,80,1.0
hd,100,1.0
hd,120,1.0
hd,140,0.9998
hd,160,0.9996
hd,180,0.9997
hd,200,0.9991
hd,220,0.9993
hd,240,0.999
hd,260,0.9984
hd,280,0.9986
hd,300,0.9979
hd,320,0.9981
hd,340,0.9978
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,0.9996
cd,1000,0.9985
cd,1100,0.9952
cd,1200,0.9918
cd,1300,0.9882
cd,1400,0.9721
cd,1500,0.9525
cd,1600,0.9284
cd,1700,0.8836
cd,1800,0.8569
cd,1900,0.7966
cd,2000,0.7151
sc,100,1.0
sc,200,1.0
sc,300,1.0
sc,400,1.0
sc,500,1.0
sc,600,1.0
sc,700,1.0
sc,800,1.0
sc,900,0.9995
sc,1000,0.9996
sc,1100,0.9977
sc,1200,0.9917
