latt,temp,ML_baseline
fcc,100,0.9992799711988479
fcc,200,0.9981999279971199
fcc,300,0.9963998559942397
fcc,400,0.9909996399855995
fcc,500,0.9788791551662066
fcc,600,0.9449177967118685
fcc,700,0.8793951758070323
fcc,800,0.7680307212288492
fcc,900,0.6315852634105364
fcc,1000,0.468738749549982
fcc,1100,0.2924516980679227
hcp,100,0.9854794191767671
hcp,200,0.9861994479779191
hcp,300,0.985239409576383
hcp,400,0.9869194767790712
hcp,500,0.984879395175807
hcp,600,0.9810392415696628
hcp,700,0.9744389775591024
hcp,800,0.9553582143285732
hcp,900,0.9473178927157087
hcp,1000,0.9173166926677067
hcp,1100,0.8867154686187447
hcp,1200,0.8449537981519261
hcp,1300,0.7956318252730109
hcp,1400,0.7411496459858394
hcp,1500,0.7075483019320773
hcp,1600,0.6349453978159126
hcp,1700,0.579023160926437
hcp,1800,0.5327013080523221
hcp,1900,0.4581783271330853
hcp,2000,0.4030961238449538
hcp,2100,0.3423736949477979
hcp,2200,0.3174126965078603
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,0.9991599663986559
bcc,600,0.9962798511940477
bcc,700,0.9882395295811832
bcc,800,0.9726389055562222
bcc,900,0.9590783631345254
bcc,1000,0.9290771630865234
bcc,1100,0.8869554782191288
bcc,1200,0.844233769350774
bcc,1300,0.7902316092643705
bcc,1400,0.7409096363854554
bcc,1500,0.6663866554662187
bcc,1600,0.594023760950438
bcc,1700,0.5257410296411856
bcc,1800,0.46045841833673345
bcc,1900,0.34645385815432617
bcc,2000,0.2608904356174247
hd,20,0.999039961598464
hd,40,0.9973598943957759
hd,60,0.9942397695907836
hd,80,0.9907596303852154
hd,100,0.9811592463698547
hd,120,0.9602784111364454
hd,140,0.9349573982959318
hd,160,0.9012360494419777
hd,180,0.859474378975159
hd,200,0.8064322572902917
hd,220,0.7615504620184808
hd,240,0.6849873994959799
hd,260,0.6512660506420257
hd,280,0.5505820232809312
hd,300,0.49573982959318375
hd,320,0.45709828393135726
hd,340,0.39445577823112926
cd,100,0.9966398655946238
cd,200,0.9959198367934717
cd,300,0.9949597983919357
cd,400,0.9954398175927037
cd,500,0.9955598223928958
cd,600,0.9942397695907836
cd,700,0.9902796111844474
cd,800,0.9798391935677427
cd,900,0.968198727949118
cd,1000,0.9581183247329893
cd,1100,0.9116764670586823
cd,1200,0.8823952958118325
cd,1300,0.8407536301452058
cd,1400,0.7723508940357614
cd,1500,0.6512660506420257
cd,1600,0.5805832233289332
cd,1700,0.5055802232089284
cd,1800,0.4306972278891156
cd,1900,0.3235329413176527
cd,2000,0.2682107284291372
sc,100,1.0
sc,200,1.0
sc,300,0.9985599423976959
sc,400,0.9896795871834874
sc,500,0.9653186127445098
sc,600,0.9175567022680907
sc,700,0.8621144845793832
sc,800,0.7757110284411376
sc,900,0.6749069962798512
sc,1000,0.5723028921156846
sc,1100,0.46513860554422176
sc,1200,0.33841353654146167
