latt,temp,ML_baseline
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,0.9985599423976959
fcc,500,0.9947197887915517
fcc,600,0.9769590783631346
fcc,700,0.9338773550942038
fcc,800,0.8627145085803433
fcc,900,0.7533901356054242
fcc,1000,0.607944317772711
fcc,1100,0.422416896675867
hcp,100,0.9899195967838713
hcp,200,0.9903996159846394
hcp,300,0.9890795631825273
hcp,400,0.9903996159846394
hcp,500,0.9897995919836794
hcp,600,0.9876395055802232
hcp,700,0.985239409576383
hcp,800,0.9769590783631346
hcp,900,0.9716788671546862
hcp,1000,0.953318132725309
hcp,1100,0.9327973118924757
hcp,1200,0.9047161886475459
hcp,1300,0.8693147725909036
hcp,1400,0.8256330253210128
hcp,1500,0.8017520700828034
hcp,1600,0.7364694587783511
hcp,1700,0.687267490699628
hcp,1800,0.6476659066362654
hcp,1900,0.5832233289331573
hcp,2000,0.5259810392415697
hcp,2100,0.46297851914076565
hcp,2200,0.4275771030841234
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,0.9984399375975039
bcc,700,0.9960398415936638
bcc,800,0.9895595823832953
bcc,900,0.9819992799711988
bcc,1000,0.9668786751470059
bcc,1100,0.9443177727109084
bcc,1200,0.9093963758550342
bcc,1300,0.8790351614064562
bcc,1400,0.8373934957398296
bcc,1500,0.7705508220328813
bcc,1600,0.7158286331453259
bcc,1700,0.6455058202328093
bcc,1800,0.5804632185287412
bcc,1900,0.4664586583463339
bcc,2000,0.3577343093723749
hd,20,0.999879995199808
hd,40,0.9997599903996159
hd,60,0.9978399135965439
hd,80,0.9969998799951998
hd,100,0.9932797311892476
hd,120,0.9830793231729269
hd,140,0.9671186847473899
hd,160,0.9457578303132125
hd,180,0.9183967358694348
hd,200,0.8780751230049202
hd,220,0.8431537261490459
hd,240,0.7794311772470899
hd,260,0.7529101164046562
hd,280,0.655826233049322
hd,300,0.6065042601704068
hd,320,0.56246249849994
hd,340,0.5040201608064323
cd,100,0.99939997599904
cd,200,0.9992799711988479
cd,300,0.9985599423976959
cd,400,0.999039961598464
cd,500,0.9986799471978879
cd,600,0.998919956798272
cd,700,0.9981999279971199
cd,800,0.9938797551902077
cd,900,0.9893195727829113
cd,1000,0.984879395175807
cd,1100,0.9611184447377895
cd,1200,0.9404776191047642
cd,1300,0.9183967358694348
cd,1400,0.8697947917916716
cd,1500,0.7775111004440177
cd,1600,0.7214688587543502
cd,1700,0.641065642625705
cd,1800,0.5745829833193328
cd,1900,0.4654986199447978
cd,2000,0.3972158886355454
sc,100,1.0
sc,200,1.0
sc,300,0.999639985599424
sc,400,0.9962798511940477
sc,500,0.984879395175807
sc,600,0.9564382575303012
sc,700,0.9163566542661706
sc,800,0.8527541101644066
sc,900,0.7748709948397936
sc,1000,0.6829473178927157
sc,1100,0.5817832713308533
sc,1200,0.4515780631225249
