latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,1.0
fcc,600,0.9977199087963519
fcc,700,0.9915996639865594
fcc,800,0.9715588623544942
fcc,900,0.9320772830913236
fcc,1000,0.8502340093603744
fcc,1100,0.7177487099483979
hcp,100,0.9981999279971199
hcp,200,0.9979599183967359
hcp,300,0.9973598943957759
hcp,400,0.9980799231969278
hcp,500,0.9973598943957759
hcp,600,0.9965198607944318
hcp,700,0.9960398415936638
hcp,800,0.9939997599903996
hcp,900,0.9935197407896316
hcp,1000,0.9895595823832953
hcp,1100,0.9787591503660147
hcp,1200,0.968678747149886
hcp,1300,0.9547581903276131
hcp,1400,0.9349573982959318
hcp,1500,0.9254770190807632
hcp,1600,0.8803552142085683
hcp,1700,0.8625945037801512
hcp,1800,0.827673106924277
hcp,1900,0.7932317292691707
hcp,2000,0.7374294971798872
hcp,2100,0.6863074522980919
hcp,2200,0.6582263290531621
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,1.0
bcc,700,0.999879995199808
bcc,800,0.99939997599904
bcc,900,0.9979599183967359
bcc,1000,0.9948397935917437
bcc,1100,0.9887195487819512
bcc,1200,0.9803192127685108
bcc,1300,0.9662786511460458
bcc,1400,0.9411976479059162
bcc,1500,0.9078363134525381
bcc,1600,0.8684747389895596
bcc,1700,0.8097923916956679
bcc,1800,0.7491899675987039
bcc,1900,0.6465858634345374
bcc,2000,0.52958118324733
hd,20,1.0
hd,40,1.0
hd,60,0.999879995199808
hd,80,0.999879995199808
hd,100,0.999879995199808
hd,120,0.99939997599904
hd,140,0.9972398895955839
hd,160,0.9949597983919357
hd,180,0.9888395535821433
hd,200,0.9753990159606384
hd,220,0.967598703948158
hd,240,0.9455178207128285
hd,260,0.9354374174966998
hd,280,0.8952358094323773
hd,300,0.8559942397695908
hd,320,0.8340333613344534
hd,340,0.7914316572662906
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,0.999639985599424
cd,1000,0.9991599663986559
cd,1100,0.9977199087963519
cd,1200,0.9981999279971199
cd,1300,0.9939997599903996
cd,1400,0.9891995679827194
cd,1500,0.9776791071642865
cd,1600,0.9630385215408617
cd,1700,0.936757470298812
cd,1800,0.9134765390615625
cd,1900,0.8521540861634466
cd,2000,0.8084723388935557
sc,100,1.0
sc,200,1.0
sc,300,0.999879995199808
sc,400,0.9980799231969278
sc,500,0.9903996159846394
sc,600,0.968198727949118
sc,700,0.9399975999039961
sc,800,0.8856354254170167
sc,900,0.8195127805112205
sc,1000,0.735269410776431
sc,1100,0.6455058202328093
sc,1200,0.5201008040321613
