latt,temp,ML
fcc,100,1.0
fcc,200,1.0
fcc,300,1.0
fcc,400,1.0
fcc,500,0.9992799711988479
fcc,600,0.9950798031921276
fcc,700,0.9824792991719669
fcc,800,0.9489979599183967
fcc,900,0.8877955118204728
fcc,1000,0.781351254050162
fcc,1100,0.6284651386055442
hcp,100,0.9937597503900156
hcp,200,0.9947197887915517
hcp,300,0.9935197407896316
hcp,400,0.9935197407896316
hcp,500,0.9936397455898236
hcp,600,0.9914796591863675
hcp,700,0.9900396015840633
hcp,800,0.9877595103804152
hcp,900,0.9836793471738869
hcp,1000,0.9741989679587183
hcp,1100,0.9583583343333734
hcp,1200,0.9440777631105244
hcp,1300,0.9182767310692428
hcp,1400,0.8840753630145206
hcp,1500,0.8640345613824553
hcp,1600,0.8096723868954758
hcp,1700,0.7728309132365294
hcp,1800,0.7278291131645266
hcp,1900,0.6745469818792752
hcp,2000,0.6227049081963278
hcp,2100,0.5541821672866915
hcp,2200,0.5197407896315852
bcc,100,1.0
bcc,200,1.0
bcc,300,1.0
bcc,400,1.0
bcc,500,1.0
bcc,600,0.9997599903996159
bcc,700,0.9985599423976959
bcc,800,0.9972398895955839
bcc,900,0.9932797311892476
bcc,1000,0.984519380775231
bcc,1100,0.9733589343573743
bcc,1200,0.952958118324733
bcc,1300,0.9284771390855634
bcc,1400,0.8948757950318013
bcc,1500,0.842913716548662
bcc,1600,0.7956318252730109
bcc,1700,0.7323892955718229
bcc,1800,0.6696267850714028
bcc,1900,0.5547821912876515
bcc,2000,0.4466578663146526
hd,20,1.0
hd,40,1.0
hd,60,0.9997599903996159
hd,80,0.9997599903996159
hd,100,0.999039961598464
hd,120,0.9959198367934717
hd,140,0.9908796351854074
hd,160,0.9835593423736949
hd,180,0.9732389295571823
hd,200,0.9523580943237729
hd,220,0.9314772590903636
hd,240,0.8953558142325693
hd,260,0.8773550942037681
hd,280,0.8138725549021961
hd,300,0.7621504860194408
hd,320,0.7278291131645266
hd,340,0.6774270970838834
cd,100,1.0
cd,200,1.0
cd,300,1.0
cd,400,1.0
cd,500,1.0
cd,600,1.0
cd,700,1.0
cd,800,1.0
cd,900,0.999039961598464
cd,1000,0.9984399375975039
cd,1100,0.9954398175927037
cd,1200,0.9942397695907836
cd,1300,0.9882395295811832
cd,1400,0.9780391215648626
cd,1500,0.9555982239289572
cd,1600,0.9324372974918996
cd,1700,0.8879155166206648
cd,1800,0.8557542301692068
cd,1900,0.7723508940357614
cd,2000,0.7229089163566542
sc,100,1.0
sc,200,1.0
sc,300,0.999039961598464
sc,400,0.9930397215888636
sc,500,0.9755190207608304
sc,600,0.9350774030961239
sc,700,0.8874354974198968
sc,800,0.8090723628945158
sc,900,0.719428777151086
sc,1000,0.6207848313932557
sc,1100,0.5127805112204488
sc,1200,0.38317532701308055
