,latt,temp,AJA,CNA,CPA,PTM,VTM,method,ML
0,bcc,100,0.9995,1.0,None,1.0,1.0,ML,1.0
1,bcc,200,0.9811,1.0,None,1.0,1.0,ML,1.0
2,bcc,300,0.9281,1.0,None,1.0,1.0,ML,1.0
3,bcc,400,0.8626,1.0,None,1.0,1.0,ML,1.0
4,bcc,500,0.7907,1.0,None,1.0,1.0,ML,1.0
5,bcc,600,0.7242,0.9998,None,1.0,1.0,ML,1.0
6,bcc,700,0.6695,0.9991,None,1.0,1.0,ML,1.0
7,bcc,800,0.6134,0.9967,None,1.0,1.0,ML,0.9998
8,bcc,900,0.5678,0.9904,None,1.0,0.9981,ML,0.9981
9,bcc,1000,0.5391,0.9749,None,0.9994,0.9938,ML,0.9981
10,bcc,1100,0.5125,0.9558,None,0.9987,0.9868,ML,0.9929
11,bcc,1200,0.4804,0.915,None,0.9962,0.9709,ML,0.9888
12,bcc,1300,0.4627,0.8657,None,0.9915,0.9498,ML,0.9765
13,bcc,1400,0.4446,0.8087,None,0.983,0.9215,ML,0.9614
14,bcc,1500,0.4257,0.7368,None,0.9694,0.883,ML,0.9441
15,bcc,1600,0.3999,0.6278,None,0.9444,0.8017,ML,0.9174
16,bcc,1700,0.3877,0.5252,None,0.9016,0.7168,ML,0.867
17,bcc,1800,0.3634,0.4209,None,0.8545,0.6309,ML,0.8265
18,bcc,1900,0.3411,0.2995,None,0.7611,0.4892,ML,0.7661
19,bcc,2000,0.2863,0.1561,None,0.5234,0.2955,ML,0.6602
20,fcc,100,1.0,1.0,None,1.0,0.2351,ML,1.0
21,fcc,200,1.0,1.0,None,1.0,0.2465,ML,1.0
22,fcc,300,1.0,1.0,None,1.0,0.2467,ML,1.0
23,fcc,400,0.9976,0.996,None,1.0,0.2471,ML,1.0
24,fcc,500,0.9882,0.986,None,1.0,0.2448,ML,0.9996
25,fcc,600,0.9659,0.9538,None,0.9999,0.2524,ML,0.997
26,fcc,700,0.9146,0.8679,None,0.9993,0.2489,ML,0.9886
27,fcc,800,0.8381,0.7462,None,0.995,0.2517,ML,0.9676
28,fcc,900,0.7128,0.5566,None,0.9776,0.2426,ML,0.9273
29,fcc,1000,0.5731,0.3753,None,0.936,0.2417,ML,0.8472
30,fcc,1100,0.3704,0.1669,None,0.7891,0.2183,ML,0.6961
31,hcp,100,1.0,1.0,None,1.0,0.6293,ML,1.0
32,hcp,200,0.9997,1.0,None,1.0,0.6233,ML,1.0
33,hcp,300,0.9973,0.9998,None,1.0,0.6223,ML,1.0
34,hcp,400,0.9921,0.999,None,1.0,0.6233,ML,1.0
35,hcp,500,0.9818,0.9915,None,1.0,0.6142,ML,1.0
36,hcp,600,0.9589,0.9756,None,0.9999,0.6216,ML,0.9985
37,hcp,700,0.9415,0.9526,None,0.9999,0.6265,ML,0.9977
38,hcp,800,0.9068,0.8981,None,0.9996,0.6144,ML,0.9940000000000001
39,hcp,900,0.8706,0.8462,None,0.9984,0.6128,ML,0.9903
40,hcp,1000,0.8346,0.7802,None,0.9974,0.6147,ML,0.981
41,hcp,1100,0.7881,0.6962,None,0.9939,0.6146,ML,0.9690000000000001
42,hcp,1200,0.7426,0.6082,None,0.9887,0.6103,ML,0.9555
43,hcp,1300,0.7033,0.5392,None,0.9806,0.6071,ML,0.9368
44,hcp,1400,0.6597,0.4645,None,0.9714,0.6132,ML,0.9053
45,hcp,1500,0.6114,0.3877,None,0.9572,0.5975,ML,0.8943
46,hcp,1600,0.5574,0.316,None,0.9396,0.6013,ML,0.8590000000000001
47,hcp,1700,0.5144,0.2615,None,0.9196,0.5918,ML,0.8306
48,hcp,1800,0.483,0.2189,None,0.8992,0.59,ML,0.8027
49,hcp,1900,0.4462,0.1791,None,0.8738,0.5778,ML,0.7738
50,hcp,2000,0.4022,0.1417,None,0.8355,0.5697,ML,0.7471
51,hcp,2100,0.3675,0.099,None,0.7906,0.5589,ML,0.7088
52,hcp,2200,0.3323,0.0718,None,0.7322,0.5303,ML,0.6678
53,cd,100,None,1.0,1.0,1.0,None,ML,1.0
54,cd,200,None,1.0,1.0,1.0,None,ML,1.0
55,cd,300,None,1.0,1.0,1.0,None,ML,1.0
56,cd,400,None,1.0,1.0,1.0,None,ML,1.0
57,cd,500,None,1.0,1.0,1.0,None,ML,0.9999
58,cd,600,None,1.0,1.0,1.0,None,ML,0.9999
59,cd,700,None,1.0,1.0,1.0,None,ML,0.9989
60,cd,800,None,1.0,1.0,1.0,None,ML,0.9971
61,cd,900,None,1.0,1.0,1.0,None,ML,0.9953
62,cd,1000,None,1.0,1.0,1.0,None,ML,0.9871
63,cd,1100,None,0.9999,0.9999,1.0,None,ML,0.9772
64,cd,1200,None,1.0,1.0,1.0,None,ML,0.9576
65,cd,1300,None,0.9995,1.0,1.0,None,ML,0.9403
66,cd,1400,None,0.9987,1.0,1.0,None,ML,0.9126
67,cd,1500,None,0.997,0.9997,1.0,None,ML,0.8609
68,cd,1600,None,0.994,0.9987,1.0,None,ML,0.8157
69,cd,1700,None,0.9864,0.9976,1.0,None,ML,0.7535
70,cd,1800,None,0.9801,0.9922,0.9988,None,ML,0.7164
71,cd,1900,None,0.9613,0.9842,0.9972,None,ML,0.6184
72,cd,2000,None,0.9209,0.9649,0.9901,None,ML,0.5483
73,hd,20,None,1.0,1.0,1.0,None,ML,0.9668
74,hd,40,None,1.0,1.0,1.0,None,ML,0.9705
75,hd,60,None,1.0,1.0,1.0,None,ML,0.9658
76,hd,80,None,1.0,1.0,1.0,None,ML,0.9695
77,hd,100,None,1.0,1.0,1.0,None,ML,0.97
78,hd,120,None,0.9999,1.0,1.0,None,ML,0.9682
79,hd,140,None,0.9999,1.0,1.0,None,ML,0.9694
80,hd,160,None,0.9998,1.0,1.0,None,ML,0.9705
81,hd,180,None,0.9992,0.9996,1.0,None,ML,0.9726
82,hd,200,None,0.9976,0.999,1.0,None,ML,0.9693
83,hd,220,None,0.9947,0.998,1.0,None,ML,0.9708
84,hd,240,None,0.99,0.9965,0.9998,None,ML,0.9747
85,hd,260,None,0.9851,0.9931,1.0,None,ML,0.9742
86,hd,280,None,0.9725,0.9873,0.9998,None,ML,0.9742
87,hd,300,None,0.9513,0.9781,0.9994,None,ML,0.9766
88,hd,320,None,0.94,0.963,0.999,None,ML,0.976
89,hd,340,None,0.8821,0.9398,0.9968,None,ML,0.9779
90,sc,100,None,None,None,None,None,ML,1.0
91,sc,200,None,None,None,None,None,ML,1.0
92,sc,300,None,None,None,None,None,ML,1.0
93,sc,400,None,None,None,None,None,ML,1.0
94,sc,500,None,None,None,None,None,ML,1.0
95,sc,600,None,None,None,None,None,ML,0.9999
96,sc,700,None,None,None,None,None,ML,0.9997
97,sc,800,None,None,None,None,None,ML,0.9993
98,sc,900,None,None,None,None,None,ML,0.9972
99,sc,1000,None,None,None,None,None,ML,0.9901
100,sc,1100,None,None,None,None,None,ML,0.9809
101,sc,1200,None,None,None,None,None,ML,0.9462
