,latt,temp,AJA,CNA,CPA,PTM,VTM   ,PTM_dflt,ML,ML_baseline
0,bcc,100,0.9995,1.0,None,1.0,1.0000,1.0,1.0,1.0
1,bcc,200,0.9811,1.0,None,1.0,1.0000,1.0,1.0,1.0
2,bcc,300,0.9281,1.0,None,1.0,1.0000,1.0,1.0,1.0
3,bcc,400,0.8626,1.0,None,1.0,1.0000,1.0,1.0,1.0
4,bcc,500,0.7907,1.0,None,1.0,1.0000,1.0,1.0,1.0
5,bcc,600,0.7242,0.9998,None,1.0,1.0000,1.0,1.0,1.0
6,bcc,700,0.6695,0.9991,None,1.0,1.0000,1.0,1.0,1.0
7,bcc,800,0.6134,0.9967,None,1.0,1.0000,1.0,1.0,1.0
8,bcc,900,0.5678,0.9904,None,1.0,0.9981,1.0,0.9998799951998081,1.0
9,bcc,1000,0.5391,0.9749,None,0.9994,0.9938,0.9994,0.9995199807992321,0.9996399855994241
10,bcc,1100,0.5125,0.9558,None,0.9987,0.9868,0.9985,0.998319932797312,0.998919956798272
11,bcc,1200,0.4804,0.915,None,0.9962,0.9709,0.9941,0.9954398175927036,0.9967598703948158
12,bcc,1300,0.4627,0.8657,None,0.9915,0.9498,0.9847,0.9895595823832952,0.9919596783871356
13,bcc,1400,0.4446,0.8087,None,0.983,0.9215,0.9655,0.9817592703708148,0.9847593903756151
14,bcc,1500,0.4257,0.7368,None,0.9694,0.8830,0.9222,0.9657986319452778,0.968798751950078
15,bcc,1600,0.3999,0.6278,None,0.9444,0.8017,0.8269,0.938077523100924,0.9447977919116765
16,bcc,1700,0.3877,0.5252,None,0.9016,0.7168,0.708,0.9050762030481221,0.9032761310452418
17,bcc,1800,0.3634,0.4209,None,0.8545,0.6309,0.5757,0.8658346333853354,0.8635545421816873
18,bcc,1900,0.3411,0.2995,None,0.7611,0.4892,0.3865,0.7673106924276971,0.7610704428177127
19,bcc,2000,0.2863,0.1561,None,0.5234,0.2955,0.1827,0.6651866074642986,0.6402256090243609
20,fcc,100,1.0,1.0,None,1.0,0.2351,1.0,1.0,1.0
21,fcc,200,1.0,1.0,None,1.0,0.2465,1.0,1.0,1.0
22,fcc,300,1.0,1.0,None,1.0,0.2467,1.0,1.0,1.0
23,fcc,400,0.9976,0.996,None,1.0,0.2471,1.0,1.0,1.0
24,fcc,500,0.9882,0.986,None,1.0,0.2448,1.0,1.0,1.0
25,fcc,600,0.9659,0.9538,None,0.9999,0.2524,0.9999,0.99939997599904,0.9996399855994241
26,fcc,700,0.9146,0.8679,None,0.9993,0.2489,0.9971,0.998559942397696,0.9971198847953918
27,fcc,800,0.8381,0.7462,None,0.995,0.2517,0.9775,0.9911196447857914,0.9885995439817592
28,fcc,900,0.7128,0.5566,None,0.9776,0.2426,0.8832,0.97131885275411,0.967958718348734
29,fcc,1000,0.5731,0.3753,None,0.936,0.2417,0.6734,0.9266770670826832,0.9103564142565702
30,fcc,1100,0.3704,0.1669,None,0.7891,0.2183,0.3289,0.8354734189367574,0.8021120844833793
31,hcp,100,1.0,1.0,None,1.0,0.6293,1.0,1.0,1.0
32,hcp,200,0.9997,1.0,None,1.0,0.6233,1.0,1.0,1.0
33,hcp,300,0.9973,0.9998,None,1.0,0.6223,1.0,0.9998799951998081,1.0
34,hcp,400,0.9921,0.999,None,1.0,0.6233,1.0,0.9998799951998081,0.9998799951998081
35,hcp,500,0.9818,0.9915,None,1.0,0.6142,1.0,0.999759990399616,0.9998799951998081
36,hcp,600,0.9589,0.9756,None,0.9999,0.6216,0.9998,0.999759990399616,1.0
37,hcp,700,0.9415,0.9526,None,0.9999,0.6265,0.9998,0.998679947197888,0.9990399615984641
38,hcp,800,0.9068,0.8981,None,0.9996,0.6144,0.9991,0.997839913596544,0.997839913596544
39,hcp,900,0.8706,0.8462,None,0.9984,0.6128,0.9956,0.9960398415936638,0.9971198847953918
40,hcp,1000,0.8346,0.7802,None,0.9974,0.6147,0.9893,0.9937597503900156,0.9957998319932796
41,hcp,1100,0.7881,0.6962,None,0.9939,0.6146,0.9689,0.9871594863794552,0.9908796351854074
42,hcp,1200,0.7426,0.6082,None,0.9887,0.6103,0.932,0.9849993999759992,0.9864394575783032
43,hcp,1300,0.7033,0.5392,None,0.9806,0.6071,0.8821,0.9751590063602544,0.9793591743669748
44,hcp,1400,0.6597,0.4645,None,0.9714,0.6132,0.8068,0.9615984639385576,0.9727589103564144
45,hcp,1500,0.6114,0.3877,None,0.9572,0.5975,0.7058,0.9603984159366374,0.9734789391575664
46,hcp,1600,0.5574,0.316,None,0.9396,0.6013,0.6148,0.936757470298812,0.9558382335293412
47,hcp,1700,0.5144,0.2615,None,0.9196,0.5918,0.494,0.9305172206888276,0.9549981999279972
48,hcp,1800,0.483,0.2189,None,0.8992,0.5900,0.4173,0.9146765870634824,0.9443177727109084
49,hcp,1900,0.4462,0.1791,None,0.8738,0.5778,0.3409,0.8984759390375615,0.9373574942997719
50,hcp,2000,0.4022,0.1417,None,0.8355,0.5697,0.2553,0.8741149645985842,0.9228369134765392
51,hcp,2100,0.3675,0.099,None,0.7906,0.5589,0.1781,0.8547941917676707,0.9186367454698188
52,hcp,2200,0.3323,0.0718,None,0.7322,0.5303,0.1232,0.8343933757350294,0.9105964238569544
53,cd,100,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
54,cd,200,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
55,cd,300,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
56,cd,400,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
57,cd,500,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
58,cd,600,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
59,cd,700,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
60,cd,800,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
61,cd,900,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
62,cd,1000,None,1.0,1.0,1.0,None  ,1.0,0.9998799951998081,1.0
63,cd,1100,None,0.9999,0.9999,1.0,None  ,1.0,0.999279971198848,0.99939997599904
64,cd,1200,None,1.0,1.0,1.0,None  ,1.0,0.9995199807992321,0.999279971198848
65,cd,1300,None,0.9995,1.0,1.0,None  ,1.0,0.998919956798272,0.9980799231969278
66,cd,1400,None,0.9987,1.0,1.0,None  ,1.0,0.997239889595584,0.9965198607944318
67,cd,1500,None,0.997,0.9997,1.0,None  ,1.0,0.9933997359894396,0.9917196687867514
68,cd,1600,None,0.994,0.9987,1.0,None  ,0.9999,0.9903996159846394,0.9865594623784952
69,cd,1700,None,0.9864,0.9976,1.0,None  ,0.9998,0.9827193087723508,0.9753990159606384
70,cd,1800,None,0.9801,0.9922,0.9988,None  ,0.997,0.9752790111604464,0.966878675147006
71,cd,1900,None,0.9613,0.9842,0.9972,None  ,0.9891,0.9482779311172448,0.9369974798991959
72,cd,2000,None,0.9209,0.9649,0.9901,None  ,0.9669,0.9291971678867156,0.9090363614544582
73,hd,20,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
74,hd,40,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
75,hd,60,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
76,hd,80,None,1.0,1.0,1.0,None  ,1.0,1.0,1.0
77,hd,100,None,1.0,1.0,1.0,None  ,1.0,0.999759990399616,1.0
78,hd,120,None,0.9999,1.0,1.0,None  ,1.0,0.99939997599904,0.999759990399616
79,hd,140,None,0.9999,1.0,1.0,None  ,1.0,0.99819992799712,0.99939997599904
80,hd,160,None,0.9998,1.0,1.0,None  ,1.0,0.9975999039961598,0.99879995199808
81,hd,180,None,0.9992,0.9996,1.0,None  ,1.0,0.997359894395776,0.998919956798272
82,hd,200,None,0.9976,0.999,1.0,None  ,1.0,0.9941197647905916,0.9975999039961598
83,hd,220,None,0.9947,0.998,1.0,None  ,1.0,0.9923196927877116,0.9963998559942396
84,hd,240,None,0.99,0.9965,0.9998,None  ,0.9995,0.9890795631825272,0.9941197647905916
85,hd,260,None,0.9851,0.9931,1.0,None  ,0.9995,0.9907596303852154,0.9944797791911676
86,hd,280,None,0.9725,0.9873,0.9998,None  ,0.9986,0.9829593183727348,0.9877595103804152
87,hd,300,None,0.9513,0.9781,0.9994,None  ,0.9952,0.9789991599663986,0.9847593903756151
88,hd,320,None,0.94,0.963,0.999,None  ,0.9876,0.9780391215648626,0.9864394575783032
89,hd,340,None,0.8821,0.9398,0.9968,None  ,0.9585,0.9761190447617905,0.9829593183727348
90,sc,100,None,None,None,1.0,None  ,1.0,1.0,1.0
91,sc,200,None,None,None,1.0,None  ,1.0,1.0,1.0
92,sc,300,None,None,None,1.0,None  ,1.0,1.0,1.0
93,sc,400,None,None,None,1.0,None  ,0.9999,1.0,1.0
94,sc,500,None,None,None,1.0,None  ,0.9939,1.0,1.0
95,sc,600,None,None,None,0.9999,None  ,0.9661,1.0,1.0
96,sc,700,None,None,None,0.9998,None  ,0.8936,1.0,1.0
97,sc,800,None,None,None,0.9986,None  ,0.7712,1.0,1.0
98,sc,900,None,None,None,0.995,None  ,0.6094,1.0,1.0
99,sc,1000,None,None,None,0.9828,None  ,0.4578,0.9996399855994241,0.9998799951998081
100,sc,1100,None,None,None,0.9539,None  ,0.3119,0.999159966398656,0.9996399855994241
101,sc,1200,None,None,None,0.8836,None  ,0.1803,0.9917196687867514,0.998319932797312
