,latt,temp,AJA,CNA,CPA,PTM,VTM   ,PTM_dflt,ML,ML_baseline
0,bcc,100,0.9995,1.0,None,1.0,1.0000,1.0,1.0,1.0
1,bcc,200,0.9811,1.0,None,1.0,1.0000,1.0,1.0,1.0
2,bcc,300,0.9281,1.0,None,1.0,1.0000,1.0,1.0,1.0
3,bcc,400,0.8626,1.0,None,1.0,1.0000,1.0,1.0,1.0
4,bcc,500,0.7907,1.0,None,1.0,1.0000,1.0,1.0,0.999159966398656
5,bcc,600,0.7242,0.9998,None,1.0,1.0000,1.0,0.999759990399616,0.9962798511940476
6,bcc,700,0.6695,0.9991,None,1.0,1.0000,1.0,0.998559942397696,0.9882395295811832
7,bcc,800,0.6134,0.9967,None,1.0,1.0000,1.0,0.997239889595584,0.9726389055562222
8,bcc,900,0.5678,0.9904,None,1.0,0.9981,1.0,0.9932797311892476,0.9590783631345254
9,bcc,1000,0.5391,0.9749,None,0.9994,0.9938,0.9994,0.9845193807752309,0.9290771630865234
10,bcc,1100,0.5125,0.9558,None,0.9987,0.9868,0.9985,0.9733589343573744,0.8869554782191288
11,bcc,1200,0.4804,0.915,None,0.9962,0.9709,0.9941,0.952958118324733,0.844233769350774
12,bcc,1300,0.4627,0.8657,None,0.9915,0.9498,0.9847,0.9284771390855634,0.7902316092643705
13,bcc,1400,0.4446,0.8087,None,0.983,0.9215,0.9655,0.8948757950318013,0.7409096363854554
14,bcc,1500,0.4257,0.7368,None,0.9694,0.8830,0.9222,0.842913716548662,0.6663866554662187
15,bcc,1600,0.3999,0.6278,None,0.9444,0.8017,0.8269,0.7956318252730109,0.594023760950438
16,bcc,1700,0.3877,0.5252,None,0.9016,0.7168,0.708,0.7323892955718229,0.5257410296411856
17,bcc,1800,0.3634,0.4209,None,0.8545,0.6309,0.5757,0.6696267850714028,0.4604584183367335
18,bcc,1900,0.3411,0.2995,None,0.7611,0.4892,0.3865,0.5547821912876515,0.34645385815432617
19,bcc,2000,0.2863,0.1561,None,0.5234,0.2955,0.1827,0.4466578663146526,0.2608904356174247
20,fcc,100,1.0,1.0,None,1.0,0.2351,1.0,1.0,0.999279971198848
21,fcc,200,1.0,1.0,None,1.0,0.2465,1.0,1.0,0.99819992799712
22,fcc,300,1.0,1.0,None,1.0,0.2467,1.0,1.0,0.9963998559942396
23,fcc,400,0.9976,0.996,None,1.0,0.2471,1.0,1.0,0.9909996399855996
24,fcc,500,0.9882,0.986,None,1.0,0.2448,1.0,0.999279971198848,0.9788791551662066
25,fcc,600,0.9659,0.9538,None,0.9999,0.2524,0.9999,0.9950798031921276,0.9449177967118684
26,fcc,700,0.9146,0.8679,None,0.9993,0.2489,0.9971,0.9824792991719667,0.8793951758070323
27,fcc,800,0.8381,0.7462,None,0.995,0.2517,0.9775,0.9489979599183967,0.7680307212288492
28,fcc,900,0.7128,0.5566,None,0.9776,0.2426,0.8832,0.8877955118204728,0.6315852634105364
29,fcc,1000,0.5731,0.3753,None,0.936,0.2417,0.6734,0.781351254050162,0.468738749549982
30,fcc,1100,0.3704,0.1669,None,0.7891,0.2183,0.3289,0.6284651386055442,0.2924516980679227
31,hcp,100,1.0,1.0,None,1.0,0.6293,1.0,0.9937597503900156,0.9854794191767672
32,hcp,200,0.9997,1.0,None,1.0,0.6233,1.0,0.9947197887915517,0.9861994479779193
33,hcp,300,0.9973,0.9998,None,1.0,0.6223,1.0,0.9935197407896316,0.9852394095763829
34,hcp,400,0.9921,0.999,None,1.0,0.6233,1.0,0.9935197407896316,0.9869194767790712
35,hcp,500,0.9818,0.9915,None,1.0,0.6142,1.0,0.9936397455898236,0.984879395175807
36,hcp,600,0.9589,0.9756,None,0.9999,0.6216,0.9998,0.9914796591863676,0.9810392415696628
37,hcp,700,0.9415,0.9526,None,0.9999,0.6265,0.9998,0.9900396015840632,0.9744389775591024
38,hcp,800,0.9068,0.8981,None,0.9996,0.6144,0.9991,0.9877595103804152,0.9553582143285732
39,hcp,900,0.8706,0.8462,None,0.9984,0.6128,0.9956,0.9836793471738868,0.9473178927157088
40,hcp,1000,0.8346,0.7802,None,0.9974,0.6147,0.9893,0.9741989679587184,0.9173166926677068
41,hcp,1100,0.7881,0.6962,None,0.9939,0.6146,0.9689,0.9583583343333734,0.8867154686187447
42,hcp,1200,0.7426,0.6082,None,0.9887,0.6103,0.932,0.9440777631105244,0.8449537981519261
43,hcp,1300,0.7033,0.5392,None,0.9806,0.6071,0.8821,0.9182767310692428,0.7956318252730109
44,hcp,1400,0.6597,0.4645,None,0.9714,0.6132,0.8068,0.8840753630145206,0.7411496459858394
45,hcp,1500,0.6114,0.3877,None,0.9572,0.5975,0.7058,0.8640345613824553,0.7075483019320773
46,hcp,1600,0.5574,0.316,None,0.9396,0.6013,0.6148,0.8096723868954758,0.6349453978159126
47,hcp,1700,0.5144,0.2615,None,0.9196,0.5918,0.494,0.7728309132365294,0.579023160926437
48,hcp,1800,0.483,0.2189,None,0.8992,0.5900,0.4173,0.7278291131645266,0.5327013080523221
49,hcp,1900,0.4462,0.1791,None,0.8738,0.5778,0.3409,0.6745469818792752,0.4581783271330853
50,hcp,2000,0.4022,0.1417,None,0.8355,0.5697,0.2553,0.6227049081963278,0.4030961238449538
51,hcp,2100,0.3675,0.099,None,0.7906,0.5589,0.1781,0.5541821672866915,0.3423736949477979
52,hcp,2200,0.3323,0.0718,None,0.7322,0.5303,0.1232,0.5197407896315852,0.3174126965078603
53,cd,100,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9966398655946238
54,cd,200,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9959198367934716
55,cd,300,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9949597983919356
56,cd,400,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9954398175927036
57,cd,500,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9955598223928958
58,cd,600,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9942397695907836
59,cd,700,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9902796111844474
60,cd,800,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9798391935677428
61,cd,900,None,1.0,1.0,1.0,None  ,1.0,0.9990399615984641,0.9681987279491179
62,cd,1000,None,1.0,1.0,1.0,None  ,1.0,0.998439937597504,0.9581183247329892
63,cd,1100,None,0.9999,0.9999,1.0,None  ,1.0,0.9954398175927036,0.9116764670586824
64,cd,1200,None,1.0,1.0,1.0,None  ,1.0,0.9942397695907836,0.8823952958118325
65,cd,1300,None,0.9995,1.0,1.0,None  ,1.0,0.9882395295811832,0.8407536301452058
66,cd,1400,None,0.9987,1.0,1.0,None  ,1.0,0.9780391215648626,0.7723508940357614
67,cd,1500,None,0.997,0.9997,1.0,None  ,1.0,0.9555982239289572,0.6512660506420257
68,cd,1600,None,0.994,0.9987,1.0,None  ,0.9999,0.9324372974918996,0.5805832233289332
69,cd,1700,None,0.9864,0.9976,1.0,None  ,0.9998,0.8879155166206648,0.5055802232089284
70,cd,1800,None,0.9801,0.9922,0.9988,None  ,0.997,0.8557542301692068,0.4306972278891156
71,cd,1900,None,0.9613,0.9842,0.9972,None  ,0.9891,0.7723508940357614,0.3235329413176527
72,cd,2000,None,0.9209,0.9649,0.9901,None  ,0.9669,0.7229089163566542,0.2682107284291372
73,hd,20,None,1.0,1.0,1.0,None  ,1.0,1.0,0.9990399615984641
74,hd,40,None,1.0,1.0,1.0,None  ,1.0,1.0,0.997359894395776
75,hd,60,None,1.0,1.0,1.0,None  ,1.0,0.999759990399616,0.9942397695907836
76,hd,80,None,1.0,1.0,1.0,None  ,1.0,0.999759990399616,0.9907596303852154
77,hd,100,None,1.0,1.0,1.0,None  ,1.0,0.9990399615984641,0.9811592463698549
78,hd,120,None,0.9999,1.0,1.0,None  ,1.0,0.9959198367934716,0.9602784111364454
79,hd,140,None,0.9999,1.0,1.0,None  ,1.0,0.9908796351854074,0.9349573982959318
80,hd,160,None,0.9998,1.0,1.0,None  ,1.0,0.9835593423736948,0.9012360494419775
81,hd,180,None,0.9992,0.9996,1.0,None  ,1.0,0.9732389295571824,0.8594743789751591
82,hd,200,None,0.9976,0.999,1.0,None  ,1.0,0.9523580943237728,0.8064322572902917
83,hd,220,None,0.9947,0.998,1.0,None  ,1.0,0.9314772590903636,0.7615504620184808
84,hd,240,None,0.99,0.9965,0.9998,None  ,0.9995,0.8953558142325693,0.6849873994959799
85,hd,260,None,0.9851,0.9931,1.0,None  ,0.9995,0.8773550942037681,0.6512660506420257
86,hd,280,None,0.9725,0.9873,0.9998,None  ,0.9986,0.8138725549021961,0.5505820232809312
87,hd,300,None,0.9513,0.9781,0.9994,None  ,0.9952,0.7621504860194408,0.4957398295931838
88,hd,320,None,0.94,0.963,0.999,None  ,0.9876,0.7278291131645266,0.4570982839313573
89,hd,340,None,0.8821,0.9398,0.9968,None  ,0.9585,0.6774270970838834,0.3944557782311293
90,sc,100,None,None,None,1.0,None  ,1.0,1.0,1.0
91,sc,200,None,None,None,1.0,None  ,1.0,1.0,1.0
92,sc,300,None,None,None,1.0,None  ,1.0,0.9990399615984641,0.998559942397696
93,sc,400,None,None,None,1.0,None  ,0.9999,0.9930397215888636,0.9896795871834874
94,sc,500,None,None,None,1.0,None  ,0.9939,0.9755190207608304,0.9653186127445098
95,sc,600,None,None,None,0.9999,None  ,0.9661,0.935077403096124,0.9175567022680908
96,sc,700,None,None,None,0.9998,None  ,0.8936,0.8874354974198968,0.8621144845793832
97,sc,800,None,None,None,0.9986,None  ,0.7712,0.8090723628945158,0.7757110284411376
98,sc,900,None,None,None,0.995,None  ,0.6094,0.7194287771510859,0.6749069962798512
